eventName,Q1A1,Q1A2,Q1A3,Q1A4,Q1A5,Q1A6,Q2A1,Q2A2,Q2A3,Q2A4,Q2A5,Q2A6,eventInt
Student Strikes 2017,0.076086956521739,0.130434782608696,0.173913043478261,0.195652173913043,0.076086956521739,0.347826086956522,0.021978021978022,0.076923076923077,0.274725274725275,0.21978021978022,0.054945054945055,0.351648351648352,1
Hurricane Maria,0.076086956521739,0.021739130434783,0.239130434782609,0.271739130434783,0.282608695652174,0.108695652173913,0.054945054945055,0.197802197802198,0.252747252747253,0.252747252747253,0.131868131868132,0.10989010989011,2
Power outages 2018-2019,0.054347826086957,0.239130434782609,0.184782608695652,0.347826086956522,0.086956521739131,0.086956521739131,0.032967032967033,0.043956043956044,0.56043956043956,0.208791208791209,0.054945054945055,0.098901098901099,3
Earthquakes 2019,0.152173913043478,0.195652173913043,0.173913043478261,0.239130434782609,0.130434782608696,0.108695652173913,0.033333333333333,0.022222222222222,0.588888888888889,0.222222222222222,0.055555555555556,0.077777777777778,4
Covid-19,0.021978021978022,0.021978021978022,0.098901098901099,0.285714285714286,0.56043956043956,0.010989010989011,0.032967032967033,0,0.098901098901099,0.197802197802198,0.659340659340659,0.010989010989011,5
