,yearAdmitted,IGS,uuid,programAdmittedInt,genderInt,schoolTypeInt,schoolInt,yearAdmittedInt,courseInt,gradeInt,droppedCourse,passOrFailSelected,passedCourse,gradeYearInt,gradeSemesterInt,semOrder,eventInt,Q1A1,Q1A2,Q1A3,Q1A4,Q1A5,Q1A6,Q2A1,Q2A2,Q2A3,Q2A4,Q2A5,Q2A6
droppedCourse,-0.037926198405668,-0.032668634099122,-0.002018517964424,-0.003399437672265,0.028333249423114,-0.010630578796266,-0.008422509990028,-0.037926198405667,-0.03302599865995,-0.327641502432416,1,-0.022827784339059,-0.022827784339059,-0.051399755783603,-0.009282879308403,-0.051888185115088,-0.090453055304732,-0.008415630457576,-0.015886469435769,0.081582508335442,-0.010189495664397,-0.036521053749585,0.050907896766174,0.041471794829251,0.090327491901367,-0.011756698836006,0.072606995478764,-0.051319823161532,0.056805773458271
passOrFailSelected,0.063146122503724,0.009074256058792,0.001602373129143,-0.017625148612159,0.020349433046989,0.005200771670186,-0.000364661632758,0.063146122503731,-0.033760009489283,-0.158255724388041,-0.022827784339059,1,1,0.073013810719431,0.017642177596817,0.074003623675202,0.103657071399622,0.043084936438993,-0.104494898028574,-0.047399581579242,-0.048128625437601,0.120957552180908,-0.081191083273792,0.070925747217685,-0.00391079099132,-0.066937109085374,0.030376968217981,0.098587130237231,-0.095687941970496
passedCourse,0.063146122503724,0.009074256058792,0.001602373129143,-0.017625148612159,0.020349433046989,0.005200771670186,-0.000364661632758,0.063146122503731,-0.033760009489283,-0.158255724388041,-0.022827784339059,1,1,0.073013810719431,0.017642177596817,0.074003623675202,0.103657071399622,0.043084936438993,-0.104494898028574,-0.047399581579242,-0.048128625437601,0.120957552180908,-0.081191083273792,0.070925747217685,-0.00391079099132,-0.066937109085374,0.030376968217981,0.098587130237231,-0.095687941970496
gradeYearInt,0.788939373102397,0.033365348732388,0.000999423296451,0.004586586789356,0.000605816799784,-0.007587379117445,-0.032357629123716,0.788939373102397,0.026537674722669,-0.06181422124244,-0.051399755783603,0.073013810719431,0.073013810719431,1,0.004303642487037,0.99779115455584,0.931327521468079,0.071090741860489,-0.058438666279749,-0.56719947297633,0.228060465831923,0.527363379548284,-0.745884681601869,0.048409760024621,-0.578877918710747,0.038924527740548,-0.413880060437239,0.552834680452847,-0.801431833586875
gradeSemesterInt,0.052334287689315,-0.008127046249043,-0.000306740405824,0.006063333701558,0.002548712830129,-0.011714088344247,-0.007940591574874,0.052334287689303,0.073212165399838,-0.027464106487626,-0.009282879308403,0.017642177596817,0.017642177596817,0.004303642487037,1,0.070722519908481,0.11562527558665,0.190451281209982,0.101290155664665,-0.280239087025432,-0.247046696250843,-0.039795529134496,0.145972995457911,-0.360707998795934,-0.327193763084112,0.042211025159098,-0.224880935246766,0.040867085276941,0.108597452157511
semOrder,0.790447725163245,0.032742234493628,0.000976553353717,0.004977929388516,0.000773615456735,-0.008346612984741,-0.032804395854521,0.790447725163245,0.031334926141645,-0.063484441146542,-0.051888185115088,0.074003623675202,0.074003623675202,0.99779115455584,0.070722519908481,1,0.949568840678119,0.101144112018678,-0.042454513984199,-0.611419118140043,0.189074689278274,0.521080898295738,-0.722846016032761,-0.008511177563165,-0.630507079976982,0.045585346570064,-0.449364807258122,0.559280849874547,-0.784290851584849
eventInt,0.446494941446362,0.009636228984987,0.004144393990626,0.002182986037468,-0.002946095161756,0.000948959400319,-0.009798745889778,0.446494941446268,0.001941289197214,-0.112332410564392,-0.090453055304732,0.103657071399622,0.103657071399622,0.931327521468079,0.11562527558665,0.949568840678119,1,-0.139145689988223,-0.066725555450507,-0.68030651600553,0.362875220544817,0.613625844194132,-0.830694821125928,0.005046966590071,-0.658907703798998,-0.024266420741984,-0.56096723437904,0.673195711791627,-0.863305243546551
Q1A1,0.045256921280991,-0.002774769981862,0.000123142926844,-0.000129986653172,0.001888656022871,-0.004402859398683,-0.002394844770586,0.045256921281015,0.008891996115216,-0.043588526471335,-0.008415630457576,0.043084936438993,0.043084936438993,0.071090741860489,0.190451281209982,0.101144112018678,-0.139145689988223,1,0.273686110284809,0.384503348190477,-0.473472995683415,-0.474914347226759,0.278123686601296,0.036778154614003,0.104777459800503,0.499198630730772,0.445897433634031,-0.57238778534509,0.168292459927238
Q1A2,-0.022591077259081,-0.001371369196147,0.000954934610985,0.002720426306819,0.000757692894416,0.001138032418783,0.00153452458209,-0.022591077259109,0.016103840350563,0.089830768138329,-0.015886469435769,-0.104494898028574,-0.104494898028574,-0.058438666279749,0.101290155664665,-0.042454513984199,-0.066725555450507,0.273686110284809,1,0.140992906773122,0.419209070996145,-0.803783867548703,0.083552824040138,-0.460116754359998,-0.414360060941255,0.926378548348796,-0.357114600389721,-0.662437251289896,0.093945357344099
Q1A3,-0.272442790437582,-0.00646877150468,-0.003102867338789,0.001064417591486,0.001250303009648,-0.001488220385845,0.001828426686118,-0.272442790437558,0.018085731604157,0.072068059175457,0.081582508335442,-0.047399581579242,-0.047399581579242,-0.56719947297633,-0.280239087025432,-0.611419118140043,-0.68030651600553,0.384503348190477,0.140992906773122,1,0.035823134132432,-0.560824709130069,0.255703219472789,0.584218030851934,0.832112586546371,0.357773100219176,0.838737291867906,-0.766199108459084,0.264965347270882
Q1A4,0.102568306361152,0.004364307202667,0.001382098520482,0.004569901532643,-0.002660064236,0.003935941024623,-0.004104564808107,0.102568306361151,0.019524642506538,0.054013948889424,-0.010189495664397,-0.048128625437601,-0.048128625437601,0.228060465831923,-0.247046696250843,0.189074689278274,0.362875220544817,-0.473472995683415,0.419209070996145,0.035823134132432,1,-0.019998982628046,-0.695430269480973,0.217623909003593,-0.181139613687458,0.412728835567869,-0.345119090814448,0.017512115098773,-0.616646155629952
Q1A5,0.246807020161081,0.006707740359372,0.001540832826581,-0.000821714106028,-0.002468910430604,0.000591036429253,-0.005735971313422,0.24680702016108,-0.012819963443225,-0.115766460706199,-0.036521053749585,0.120957552180908,0.120957552180908,0.527363379548284,-0.039795529134496,0.521080898295738,0.613625844194132,-0.474914347226759,-0.803783867548703,-0.560824709130069,-0.019998982628046,1,-0.550602697789282,0.302109197233617,-0.094440038775218,-0.78116851898053,-0.151487631495419,0.956405173596251,-0.553684463443843
Q1A6,-0.352719006830066,-0.008645964442383,-0.002940770481165,-0.003767927062031,0.003634882977474,-0.001833171822842,0.010463270405986,-0.352719006830065,-0.013340851780325,0.072888007051522,0.050907896766174,-0.081191083273792,-0.081191083273792,-0.745884681601869,0.145972995457911,-0.722846016032761,-0.830694821125928,0.278123686601296,0.083552824040138,0.255703219472789,-0.695430269480973,-0.550602697789282,1,-0.453448189742044,0.249661320015363,-0.053416129361382,0.252177787432932,-0.505584037465764,0.991524347047242
Q2A1,0.017393087335539,0.000838539108751,-0.001144160919328,0.001756843694036,-0.001590308844812,-0.000867719138162,-0.006038319833553,0.017393087335539,0.014693089764825,-0.038150819603679,0.041471794829251,0.070925747217685,0.070925747217685,0.048409760024621,-0.360707998795934,-0.008511177563165,0.005046966590071,0.036778154614003,-0.460116754359998,0.584218030851934,0.217623909003593,0.302109197233617,-0.453448189742044,1,0.736348965444816,-0.150070081083802,0.726384945289628,0.029047795910777,-0.451701244885662
Q2A2,-0.281911043576949,-0.005752268185221,-0.003681834083414,-0.000738510063682,0.000851080173227,-0.001534759893647,0.002218246971425,-0.281911043576929,0.006127783767278,0.033834450450851,0.090327491901367,-0.00391079099132,-0.00391079099132,-0.578877918710747,-0.327193763084112,-0.630507079976982,-0.658907703798998,0.104777459800503,-0.414360060941255,0.832112586546371,-0.181139613687458,-0.094440038775218,0.249661320015363,0.736348965444816,1,-0.217810457070681,0.92942444738955,-0.341580808163028,0.267460129486525
Q2A3,0.024835720204889,-0.001045327544588,0.000942596608997,0.003422082437352,0.000482372478659,-1.90693900649233E-05,-0.001540644151563,0.024835720204853,0.022915318835657,0.061421393133204,-0.011756698836006,-0.066937109085374,-0.066937109085374,0.038924527740548,0.042211025159098,0.045585346570064,-0.024266420741984,0.499198630730772,0.926378548348796,0.357773100219176,0.412728835567869,-0.78116851898053,-0.053416129361382,-0.150070081083802,-0.217810457070681,1,-0.080447920707856,-0.739201582822703,-0.068999323667994
Q2A4,-0.198583270600317,-0.005350957028542,-0.003023692662831,-0.000727007819122,0.001173896139727,-0.003093695429918,9.21593937933709E-05,-0.198583270600372,0.008028530887323,-0.00275528272219,0.072606995478764,0.030376968217981,0.030376968217981,-0.413880060437239,-0.224880935246766,-0.449364807258122,-0.56096723437904,0.445897433634031,-0.357114600389721,0.838737291867906,-0.345119090814448,-0.151487631495419,0.252177787432932,0.726384945289628,0.92942444738955,-0.080447920707856,1,-0.421162998053345,0.222679320252728
Q2A5,0.259658157088165,0.007187168471019,0.002075292770254,-0.000958644874504,-0.002374154252271,0.001349294031645,-0.004449213164255,0.259658157088319,-0.016177753459221,-0.102605680755244,-0.051319823161532,0.098587130237231,0.098587130237231,0.552834680452847,0.040867085276941,0.559280849874547,0.673195711791627,-0.57238778534509,-0.662437251289896,-0.766199108459084,0.017512115098773,0.956405173596251,-0.505584037465764,0.029047795910777,-0.341580808163028,-0.739201582822703,-0.421162998053345,1,-0.499376295498863
Q2A6,-0.380723221386504,-0.008784326686701,-0.003136243417398,-0.003631106771689,0.003512052040166,-0.001249857729302,0.011133176253372,-0.380723221386504,-0.013157283693493,0.088115571166789,0.056805773458271,-0.095687941970496,-0.095687941970496,-0.801431833586875,0.108597452157511,-0.784290851584849,-0.863305243546551,0.168292459927238,0.093945357344099,0.264965347270882,-0.616646155629952,-0.553684463443843,0.991524347047242,-0.451701244885662,0.267460129486525,-0.068999323667994,0.222679320252728,-0.499376295498863,1
